Parameters,No Data Processing (c=3),No Data Processing (c=4),No Data Processing (c=5),Using Normalization (c=3),Using Normalization (c=4),Using Normalization (c=5),Using Transform (c=3),Using Transform (c=4),Using Transform (c=5),Using PCA (c=3),Using PCA (c=4),Using PCA (c=5),Using T+N (c=3),Using T+N (c=4),Using T+N (c=5),T+N+PCA (c=3),T+N+PCA (c=4),T+N+PCA (c=5)
Silhouette,0.5543236611296426,0.48896708575546993,0.48438258927906036,0.4466890410285909,0.4006363159855973,0.33058726295230545,0.5715763084020384,0.5010115309316047,0.42920849986577725,0.5984750353705444,0.5409772344736492,0.5487843719847738,0.4674386328942726,0.3857739078959931,0.3404173656652357,0.536069679843294,0.4864008561707351,0.41718488374354606
Calinski-Harabasz,558.0580408128307,515.0789062430442,488.48490403651624,222.71916382215363,201.2514543140406,192.6812827176413,974.1762284994965,786.6631319587631,671.4957693111089,688.6175478020382,673.9462643465888,665.8831120635568,270.984860895453,230.77856792703307,227.22398069231647,294.1773973789946,289.67469045670896,294.1425812679168
Davies-Bouldin,0.6562564540642021,0.7952637917518272,0.8204166609646473,0.8034665302876753,0.9788214982592804,0.9742492313121824,0.628270922724874,0.7238079951451862,0.8431058989288314,0.5604962418488765,0.6546236191154553,0.6525734875175679,0.8094163061366286,0.8723668307731048,0.9621674659165835,0.6267377289285372,0.7294308473571045,0.7672859593894812
