Parameters,No Data Processing (c=3),No Data Processing (c=4),No Data Processing (c=5),Using Normalization (c=3),Using Normalization (c=4),Using Normalization (c=5),Using Transform (c=3),Using Transform (c=4),Using Transform (c=5),Using PCA (c=3),Using PCA (c=4),Using PCA (c=5),Using T+N (c=3),Using T+N (c=4),Using T+N (c=5),T+N+PCA (c=3),T+N+PCA (c=4),T+N+PCA (c=5)
Silhouette,0.6857881712617194,0.6857881712617194,0.6857881712617194,0.5817500491982808,0.5817500491982808,0.5817500491982808,0.7649324341154611,0.7649324341154611,0.7649324341154611,0.7103108365955948,0.7103108365955948,0.7103108365955948,0.5136360792658673,0.5136360792658673,0.5136360792658673,0.5473815838138172,0.5473815838138172,0.5473815838138172
Calinski-Harabasz,509.7034266772456,509.7034266772456,509.7034266772456,251.34933946458108,251.34933946458108,251.34933946458108,951.6090935639724,951.6090935639724,951.6090935639724,565.7340515858798,565.7340515858798,565.7340515858798,187.36595417327743,187.36595417327743,187.36595417327743,215.08542658782207,215.08542658782207,215.08542658782207
Davies-Bouldin,0.3885516762710371,0.3885516762710371,0.3885516762710371,0.5933126905762435,0.5933126905762435,0.5933126905762435,0.30304672850789216,0.30304672850789216,0.30304672850789216,0.35505921218056113,0.35505921218056113,0.35505921218056113,0.6253182425551174,0.6253182425551174,0.6253182425551174,0.576675027439261,0.576675027439261,0.576675027439261
