Parameters,No Data Processing (c=3),No Data Processing (c=4),No Data Processing (c=5),Using Normalization (c=3),Using Normalization (c=4),Using Normalization (c=5),Using Transform (c=3),Using Transform (c=4),Using Transform (c=5),Using PCA (c=3),Using PCA (c=4),Using PCA (c=5),Using T+N (c=3),Using T+N (c=4),Using T+N (c=5),T+N+PCA (c=3),T+N+PCA (c=4),T+N+PCA (c=5)
Silhouette,0.5528190123564102,0.49805050499728815,0.49123997967644867,0.45994823920518635,0.38694104154427816,0.3459012795948778,0.5715763084020384,0.5023294459140785,0.3320591159861472,0.5976764219547994,0.5577409232246785,0.5515547785513797,0.46847114858609323,0.3877696113680403,0.3501471545718611,0.5163080072794886,0.4472308487249571,0.42757062723994255
Calinski-Harabasz,561.62775662962,530.7658081872851,495.3699060237615,241.90440170183157,207.26591431569688,202.9515253173917,974.1762284994965,839.1787964271368,722.3945870109112,693.7084334188484,719.1235440488664,685.0267725905675,276.0214339342453,237.7604456701334,234.46501453794517,333.009381770495,301.74377664131305,319.1232547479815
Davies-Bouldin,0.6619715465007465,0.7803069838811107,0.8159888282066957,0.8335949464754338,0.8698143723183839,0.9483171900518057,0.628270922724874,0.7737865948987935,1.076137250959872,0.5648157434964123,0.6150686747805234,0.6320655624289184,0.8110756743488268,0.8881610509174839,0.9531940779329362,0.7011476642983284,0.7540625966223318,0.7754161083619275
